objname,ra,dec,distance,distance_err
UGC12082,338.544993,32.8611482,12.439,4.523
UGC05917,162.224121,46.7207014,12.44,6.851
ESO435-039,151.4145075,-28.4454363,12.453,6.44
UGC00655,16.005945,41.841715,12.471,4.156
UGC08857,209.1109125,4.3966594,12.489,7.377
UGC07544,186.658449,62.3793491,12.494,5.693
NGC2090,86.7578865,-34.2505297,12.504,0.49
ESO420-005,62.30586,-30.4151145,12.535,5.981
NGC3675,171.5342745,43.5864893,12.542,7.461
NGC3782,174.836448,46.5135569,12.552,7.411
NGC4085,181.344603,50.3529174,12.555,7.232
UGC06992,180.078783,50.6527977,12.567,7.207
UGC08450,201.7549335,10.0559395,12.568,7.964
UGC08061,194.1825885,11.9316819,12.59,0.742
